Issue Title,Issue Number,State,Created At,Updated At,Closed At,URL,Labels,Author,Comments
Rails 7.0.6 cannot update credentials from files,48900,open,2023-08-06T18:59:55Z,2023-08-06T18:59:55Z,,https://github.com/rails/rails/issues/48900,[],m2wasabi,0
7.0.6 changed the i18n behavior of validation messages for `base` in autosave associations,48884,closed,2023-08-04T10:02:33Z,2023-08-04T22:44:08Z,2023-08-04T19:57:58Z,https://github.com/rails/rails/issues/48884,[],wata727,8
Rails hangs on Turbo::StreamsChannel is streaming from,48882,open,2023-08-04T09:44:12Z,2023-08-05T21:10:03Z,,https://github.com/rails/rails/issues/48882,['more-information-needed'],cvandermeer,1
"ActionController::PermissionsPolicy does not define ""Permissions-Policy"" but ""Feature-Policy""",48878,open,2023-08-03T21:14:55Z,2023-08-03T21:20:00Z,,https://github.com/rails/rails/issues/48878,"['actionpack', 'attached PR']",mikevoets,1
"AbstractController::DoubleRenderError:        Render and/or redirect were called multiple times in this action. Please note that you may only call render OR redirect, and at most once per action. Also note that neither redirect nor render terminate execution of the action, so if you want to exit an action after redirecting, you need to do something like ""redirect_to(...) and return"".",48875,open,2023-08-02T21:45:12Z,2023-08-02T22:08:31Z,,https://github.com/rails/rails/issues/48875,['more-information-needed'],karantomar-aretove,1
Repeated calls to `read_multi` on `NullStore` cache causes a NoMethodError,48867,closed,2023-08-01T22:47:27Z,2023-08-01T23:34:58Z,2023-08-01T23:34:58Z,https://github.com/rails/rails/issues/48867,"['activesupport', 'attached PR']",JBKahn,1
Direct Routes aren't reflected in list of available routes via `bin/rails routes`,48866,closed,2023-08-01T21:00:03Z,2023-08-04T20:43:10Z,2023-08-04T20:43:09Z,https://github.com/rails/rails/issues/48866,['actionpack'],dylanfisher,2
"Unable to autoload constant Example, expected /lib/example.rb to define it (LoadError)",48864,closed,2023-08-01T15:01:36Z,2023-08-01T20:35:58Z,2023-08-01T20:35:57Z,https://github.com/rails/rails/issues/48864,[],karantomar-aretove,9
ActiveRecord::QueryMethods#select with Hash does not match syntax for #where,48862,open,2023-08-01T07:50:12Z,2023-08-02T07:12:26Z,,https://github.com/rails/rails/issues/48862,['activerecord'],leejarvis,1
ActiveSupport JSON.encode in API mode spends most time in String.gsub!,48858,closed,2023-07-31T13:17:35Z,2023-08-02T06:48:34Z,2023-08-02T06:48:34Z,https://github.com/rails/rails/issues/48858,[],fanktom,9
ActiveRecord: relation.count != relation.to_a.count,48848,closed,2023-07-29T10:50:51Z,2023-07-29T12:12:42Z,2023-07-29T11:45:34Z,https://github.com/rails/rails/issues/48848,[],eadz,7
